Signal Time,Game,Player,Market,Side,Line,Odds,Book,EV %,Hit Rate %,Num Games,Baba Lock?,Confirmation Books,Player ID,Event ID,Commence Time,Market Key,Resolved?,Actual Outcome,Actual Stat,Resolved Time,Notes
2026-03-01T19:00:16.321687-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Cason Wallace,Rebounds Assists,Over,6.5,110,BetMGM,2.82,90.0,10,False,"FD at -108, DK at -105, ESPN at 105",56677833,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:00:26.149914-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Isaiah Hartenstein,Points Rebounds Assists,Under,22.5,100,BetParx,2.08,60.0,10,False,"FD at -118, DK at -121, ESPN at -120",201,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:00:39.878332-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Dejounte Murray,Threes,Under,1.5,-110,HardRockBet,5.83,50.0,2,False,"FD at -142, DK at -119, ESPN at -125",334,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:03:51.614619-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),VJ Edgecombe,Rebounds,Under,5.5,-124,DraftKings,6.47,20.0,10,False,"FD at -166, DK at -124, ESPN at -150, Pinnacle at -146",1057261935,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:07:25.938405-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),John Collins,Points Rebounds,Under,20.5,100,BetMGM,4.77,30.0,10,False,"FD at -125, DK at -111, ESPN at -115",101,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:07:32.062120-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Dejounte Murray,Threes,Under,1.5,-110,HardRockBet,6.81,50.0,2,False,"FD at -146, DK at -119, ESPN at -125",334,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:07:47.504386-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),LeBron James,Rebounds Assists,Under,12.5,100,HardRockBet,2.91,40.0,10,False,"FD at -120, DK at -112, ESPN at -115",237,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:11:04.114167-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Jaylen Brown,Rebounds Assists,Under,11.5,104,DraftKings,2.85,40.0,10,False,"FD at -115, DK at 104, ESPN at -115",70,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:11:23.648669-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),John Collins,Points Rebounds,Under,20.5,100,BetMGM,3.75,30.0,10,False,"FD at -122, DK at -111, ESPN at -115",101,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:11:30.188521-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Dejounte Murray,Threes,Under,1.5,-110,HardRockBet,5.83,50.0,2,False,"FD at -142, DK at -119, ESPN at -125",334,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:14:48.878320-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),John Collins,Points Rebounds,Under,20.5,100,BetMGM,4.77,30.0,10,False,"FD at -125, DK at -111, ESPN at -115",101,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:17:53.923531-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Neemias Queta,Rebounds,Under,7.5,-107,DraftKings,5.76,50.0,10,False,"FD at -138, DK at -107, ESPN at -140, Pinnacle at -125",17553967,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_rebounds,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:18:01.495939-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),VJ Edgecombe,Points Assists,Under,18.5,100,HardRockBet,2.02,40.0,10,False,"FD at -120, DK at -117, ESPN at -120",1057261935,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:18:04.801161-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),VJ Edgecombe,Points Assists,Under,18.5,100,BetMGM,2.02,40.0,10,False,"FD at -120, DK at -117, ESPN at -120",1057261935,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:18:29.418794-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),John Collins,Points Rebounds,Under,20.5,100,BetMGM,5.79,30.0,10,False,"FD at -128, ESPN at -115",101,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:07.051938-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Jared McCain,Points,Under,9.5,-108,Caesars,1.87,40.0,10,False,"FD at -128, DK at -117, ESPN at -130, Pinnacle at -123",1028027372,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:17.753824-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Isaiah Hartenstein,Points Rebounds Assists,Under,22.5,100,BetRivers,2.91,60.0,10,False,"FD at -120, DK at -123, ESPN at -120",201,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:19.921280-05:00,DAL Mavericks vs OKC Thunder (8:10 PM EST),Isaiah Hartenstein,Points Rebounds Assists,Under,22.5,100,BetParx,2.91,60.0,10,False,"FD at -120, DK at -123, ESPN at -120",201,3d268484ec4724f35d87620826643242,2026-03-02T01:10:00+00:00,player_points_rebounds_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:22.631075-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),John Collins,Points Rebounds,Under,20.5,100,BetMGM,3.75,30.0,10,False,"FD at -122, DK at -116, ESPN at -120",101,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_points_rebounds,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:33.510952-05:00,LAC Clippers vs NOP Pelicans (9:10 PM EST),Dejounte Murray,Threes,Under,1.5,-105,HardRockBet,9.23,50.0,2,False,"FD at -146, DK at -119",334,7ef96743c87da2d41e5269fb5d3ac078,2026-03-02T02:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T08:12:37.983154+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:36.539782-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),Marcus Smart,Points,Over,7.5,110,HardRockBet,4.13,50.0,10,False,"FD at -111, ESPN at -110, Pinnacle at -109",420,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_points,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:22:39.389745-05:00,LAL Lakers vs SAC Kings (9:40 PM EST),LeBron James,Rebounds Assists,Under,12.5,100,HardRockBet,2.08,40.0,10,False,"FD at -118, DK at -112, ESPN at -120",237,517d3f658ed7692ebe7eaea81aa3c1ef,2026-03-02T02:40:00+00:00,player_rebounds_assists,True,Void,DNP or no data,2026-03-02T08:42:40.832631+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:29:00.309017-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),VJ Edgecombe,Points Assists,Under,18.5,100,HardRockBet,2.84,40.0,10,False,"FD at -122, DK at -124, ESPN at -120",1057261935,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:29:03.591591-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),VJ Edgecombe,Points Assists,Under,18.5,100,BetMGM,2.84,40.0,10,False,"FD at -122, DK at -124, ESPN at -120",1057261935,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_points_assists,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
2026-03-01T19:29:10.348808-05:00,BOS Celtics vs PHI 76ers (8:10 PM EST),Nikola Vucevic,Threes,Under,1.5,-167,DraftKings,2.82,80.0,10,False,"FD at -215, DK at -167, ESPN at -240",460,7129ee2856df2237632c277ccbc657f7,2026-03-02T01:10:00+00:00,player_threes,True,Void,DNP or no data,2026-03-02T07:12:24.876874+00:00,No game log found (possible DNP or API delay)
